1737	7	13	1
656	7	62	4
934	7	39	4
1305	7	3	1
657	7	3	1
1502	7	5	1
1306	7	6	1
2023	7	7	2
658	7	3	1
545	7	7	2
460	7	33	3
322	7	27	2
1031	7	18	2
763	7	0	0
1307	7	9	2
659	7	22	3
2024	7	3	1
1167	7	4	1
1032	7	20	3
238	7	0	0
660	7	4	1
546	7	6	2
1308	7	0	0
661	7	15	2
507	7	17	3
591	7	7	2
1309	7	4	2
843	7	5	1
662	7	24	3
764	7	17	2
1310	7	6	2
844	7	11	2
2025	7	1	1
1311	7	10	2
387	7	26	3
845	7	6	2
2026	7	11	3
1503	7	3	1
423	7	19	3
1738	7	4	1
846	7	0	0
592	7	48	3
547	7	2	1
847	7	3	1
1033	7	8	1
1504	7	1	1
1034	7	13	3
424	7	66	2
1739	7	28	3
1035	7	6	1
159	7	33	2
1505	7	26	3
935	7	3	1
1036	7	6	2
1168	7	1	1
1312	7	16	2
936	7	3	1
663	7	9	1
1169	7	4	1
1506	7	20	2
2960	7	2	1
664	7	43	4
937	7	4	1
1037	7	44	4
461	7	9	2
1313	7	16	2
665	7	1	1
2425	7	10	3
765	7	1	1
1740	7	22	3
848	7	5	1
2426	7	9	2
1507	6	6	2
508	6	1	1
1508	6	16	3
1038	6	7	2
2027	6	10	1
766	6	0	0
509	6	37	4
666	6	0	0
462	6	12	2
1170	6	9	1
1039	6	3	1
2028	6	5	1
849	6	16	2
667	6	3	1
1509	6	5	2
593	6	1	1
1314	6	42	2
1315	6	2	1
425	6	14	2
2961	6	0	0
1510	6	11	2
1040	6	0	0
548	6	2	1
668	6	6	1
2427	6	2	1
3686	6	2	1
1511	6	22	4
669	6	11	2
1512	6	8	2
426	6	41	3
1316	6	1	1
1041	6	0	0
938	6	4	1
1171	6	4	1
2962	6	9	1
1317	6	3	1
594	6	11	2
1042	6	2	1
2029	6	12	2
2030	6	6	2
1043	6	9	2
595	6	9	2
1513	6	6	2
1172	6	3	1
1741	6	1	1
939	6	17	2
1742	6	1	1
2031	6	15	2
4723	6	2	1
2032	6	9	2
510	6	12	2
940	6	25	3
388	6	12	2
2428	6	6	1
1514	6	0	0
941	6	15	2
942	6	7	2
943	6	6	2
767	6	17	3
1173	6	8	1
596	6	5	1
1174	6	13	2
944	6	8	2
2033	6	8	2
1515	6	4	1
850	6	3	1
3687	6	0	0
670	6	6	1
2963	6	3	1
945	6	65	3
768	6	20	3
1743	6	3	1
2429	6	22	3
946	6	12	3
463	6	4	1
597	6	33	3
262	6	16	3
1175	6	1	1
1176	6	1	1
323	6	7	2
1516	6	65	5
1177	6	0	0
1744	6	1	1
1044	6	3	1
1517	6	8	2
1518	6	0	0
2034	6	1	1
851	6	21	2
2964	6	37	2
324	6	23	2
2965	6	3	1
598	6	22	3
599	6	1	1
3688	6	5	2
7905	6	2	1
3689	6	2	1
947	6	5	1
1519	6	18	2
948	6	21	3
2430	6	2	1
1520	6	1	1
2035	6	20	4
1318	6	2	1
1319	6	6	2
769	6	6	2
671	6	4	1
1320	6	5	1
949	6	8	2
2431	6	3	1
950	6	7	1
770	6	1	1
852	6	9	2
951	6	0	0
853	6	2	1
427	6	19	3
3690	6	13	2
1321	6	57	2
854	6	3	1
1322	6	11	2
6127	6	4	1
1521	6	15	2
1045	6	5	1
428	6	0	0
1323	6	20	2
1046	6	0	0
1324	6	2	1
952	6	2	1
511	6	2	1
1178	6	44	3
1745	6	25	3
389	6	23	1
1746	6	4	1
1179	6	5	2
771	6	3	1
953	6	1	1
129	6	1	1
221	6	4	1
855	6	31	2
1180	6	1	1
390	6	9	2
1181	6	2	1
856	6	6	2
1047	6	14	2
3691	6	16	2
1048	6	4	1
772	6	20	3
1049	6	42	2
1325	6	0	0
1522	6	5	2
1747	6	19	2
773	6	0	0
1326	6	2	1
954	6	5	1
2966	6	14	2
857	6	21	2
2036	6	0	0
3692	6	11	1
858	6	2	1
6128	6	3	1
1050	6	10	1
2037	6	2	1
1748	6	12	1
2432	6	4	1
1051	6	2	1
1327	6	3	1
774	6	4	2
1749	6	2	1
2967	5	9	2
1052	5	1	1
1750	5	8	2
859	5	7	1
1182	5	2	1
1751	5	4	1
860	5	2	1
2968	5	3	1
1183	5	3	1
1053	5	5	1
1523	5	8	2
1524	5	3	1
1054	5	5	1
1055	5	2	1
1752	5	75	3
2433	5	5	1
391	5	2	1
1525	5	0	0
861	5	0	0
3693	5	3	1
600	5	0	0
775	5	11	2
1753	5	2	1
672	5	1	1
2969	5	8	1
2970	5	5	1
601	5	57	2
464	5	4	1
2038	5	7	1
2039	5	7	1
673	5	14	2
1754	5	1	1
512	5	3	1
2971	5	40	5
2972	5	9	2
392	5	13	1
2973	5	3	1
2434	5	3	1
674	5	5	2
1526	5	24	3
465	5	2	1
862	5	2	1
1755	5	2	1
1756	5	0	0
602	5	5	2
955	5	1	1
1757	5	8	2
1758	5	21	2
160	5	9	2
466	5	0	0
863	5	0	0
603	5	6	1
180	5	9	1
263	5	3	1
513	5	12	3
956	5	3	1
1527	5	3	1
957	5	24	3
467	5	0	0
325	5	1	1
2435	5	5	1
1759	5	4	1
958	5	5	1
1760	5	19	2
959	5	6	1
1056	5	2	1
1761	5	13	2
3694	5	9	2
960	5	11	1
1057	5	2	1
776	5	5	1
1762	5	3	1
1528	5	1	1
2974	5	24	3
2975	5	13	3
3695	5	1	1
961	5	14	2
1328	5	4	1
2436	5	11	2
1529	5	7	2
1530	5	4	1
1531	5	4	1
3696	5	1	1
1763	5	0	0
1532	5	7	2
2437	5	0	0
675	5	6	1
1764	5	24	3
96	5	7	1
468	5	1	1
2040	5	3	1
3697	5	7	1
1329	5	6	2
2438	5	12	1
676	5	12	2
6129	5	2	1
2439	5	7	2
864	5	3	1
1058	5	5	1
777	5	6	2
962	5	9	1
2976	5	21	2
1330	5	10	2
865	5	1	1
6130	5	4	1
1765	5	4	1
549	5	21	3
1059	5	4	1
1060	5	2	1
866	5	2	1
2440	5	12	2
